Cluster,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,WeightKg,BMI,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,avg_intensity,most_intense_day,METs,NaN
0,12037.48475272128,9.505141527430514,9.505141527430514,0.2891204842209303,5.201447657524211,0.4991999223933433,3.788481888461213,0.0011046511744186047,73.74289968398023,15.272256435188936,174.60892553277694,917.8344846446803,3279.6885956027336,84.21452227566243,27.124635190947046,384.3895416462137,408.6604809910296,0.9422518487754311,0.29905237822118674,0.0,15.739531695361926,0.25
1,8857.100375356997,6.1512027716689515,6.049781719195268,0.47072016941578954,1.414190607253325,0.48270012232879644,4.2501466336870255,0.003605630340220318,20.600669114647083,11.427980416156672,284.8817951856385,1083.066332109343,2162.237290901673,71.61086031601727,26.24723923949992,197.7209541829427,217.20118123372396,0.9217309539626003,0.25405161413442945,2.0,15.638426275915142,0.4
2,3418.8598088134727,2.4397669590845448,2.3282491000815684,0.15980760948458048,0.35043965055401555,0.21970113348696466,1.7411470311271238,0.0015028758101707995,4.735702926731504,11.888713254637286,117.58139268020169,1186.1964864543677,2058.6754912307156,89.30875560215543,31.76672118066685,339.99530562735197,380.85512978705054,0.9038719112514907,0.09905165367403611,1.2142857142857142,12.446895752008901,0.5
3,8672.865982037894,6.0431351137509415,6.032524003493534,0.04460575006666667,1.1677592089047337,0.8907302698876784,3.9163300510458723,0.0011070198043173988,16.24992433944572,19.52693526034354,217.76078148940908,788.3617111499962,2164.1561880763593,76.1695694922041,26.614390138288176,410.93249856417873,454.55097734884953,0.9026151403358883,0.2176057865682084,0.6666666666666666,14.952515144721147,0.0
